;Quantité;Cuves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sauvignon OC Blanc;656;39;49;129;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sauvignon VDF Blanc;307;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah OC Rouge;1386;56;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Blanc;970;59;B11;B12;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Rouge;6941.57;A4;A6;A8;A10;A11;A12;A13;A14;54;77;B21;B22;4;5;14;20;23;29;CV2;B10;117;;;;;;128;128;129;128
Vinaigre;37;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viognier OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Rouge;533;B15;CV3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Rouge;102;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mourvedre OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mourvedre VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Blanc ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portes Med Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
