;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;10;0;405;0;;;2013-11-29;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;Acidification
*;11;12/0937;402;402;VP30 Rosé;;2014-01-21;Analyse;;ICV;13.47;0.13;0;0;0;0;0;0;STABLE;0;3;0;;
*;12;12/0954;198;180;Grenache OC Rosé;;2014-01-23;Analyse;;;11.49;0.26;0;0;0;0;0;0;0;0;3;0;;
*;13;12/0965;198;198;AOP CDR Rouge;;2014-01-23;Analyse;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;14;12/0964;405;0;;;2014-01-21;Filtration;260;C63;12.96;0.44;0;0;0;0;0;0;0;0;1;0;;
*;15;0;488;0;;;2013-10-16;Retiraison;280;GVS;0;0;0;0;0;0;0;0;0;0;0;0;;
*;16;12/0762;490;0;;;2013-10-16;Retiraison;280;GVS;0;0;0;0;0;0;0;0;0;0;0;0;;Collage
*;17;12/0937;332;332;VP30 Rosé;vinif 2013;2014-01-21;Analyse;;ICV;12.9;0.18;0;0;0;0;0;0;STABLE;0;0;0;;
*;18;0;332;0;;;2013-12-09;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;19;0;348;0;;;2015-01-15;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;20;12/0956;385;385;Merlot OC Rouge;vinif 13;2014-01-16;Entrée;385;agreage vinif;13.54;0.4;0;0;0;0;0;0;0;0;0;0;;
*;21;12/0939;386;386;Cabernet VDF Rouge;;2014-01-13;Analyse;;;11.8;0.36;0;0;0;0;0;0;0;0;0;0;;
*;22;06/0468;348;0;;;2013-12-18;Retiraison;348;C41;13.36;0.59;0;0;0;0;0;0;0;0;0;0;;Collage
*;23;12/0763;334;334;VP30 Rouge;;2014-01-14;Analyse;;;12.06;0.48;0;0;0;0;0;0;0;0;0;0;;
*;24;06/0401;336;0;;;2013-10-08;Retiraison;144;c106;;;;;;;;;;;;0;;
*;25;12/0954;335;335;Grenache OC Rosé;reserve italien;2014-01-21;Analyse;;ICV;12.38;0.21;0;0;0;0;0;0;STABLE;0;2;0;;
*;26;0;340;0;;;2013-12-10;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;2;0;;
*;27;12/0952;340;0;;;2014-01-14;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;28;0;110;0;Bio VDF Rouge;vinif13 110hl rosee;2014-01-21;Analyse;;Vinif 2013;12.8;0.4;0;0;0;0;0;0;0;0;0;0;;
*;29;0;110;0;;;2014-01-23;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;1;0;;Centrifugation
*;30;0;115;0;;;2014-01-23;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;31;06/0468;366;0;;;2013-12-18;Retiraison;233;C41;13.01;0.6;0;3.09;0;0;0;0;0;0;0;0;;Nettoyage
*;32;0;456;0;Merlot OC Rouge;vinif13 456hl;2014-01-23;Analyse;;vinif 2013 ca5;13.26;0.33;0;0;0;0;0;0;0;0;0;0;;
