;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;11;12/0962;402;396;Chardonnay VDF Blanc;;2014-03-19;Entrée;230;vinicole;12;0.33;0;0;0;0;0;0;STABLE;0;3;0;;
*;12;12/1040;198;198;OC Blanc;;2014-03-12;Entrée;198;c110;11.49;0.26;0;0;0;0;0;0;stable;0;3;0;;
*;13;13/1019;198;198;AOP Costière Rouge;;2014-03-19;Entrée;198;redessan;12.57;0.29;0;0;0;0;FT;0;0;0;0;0;;
*;14;12/1003;405;405;VDF Rouge;;2014-03-03;Entrée;105;A8;0;0;0;0;0;0;0;0;0;0;1;0;;
*;15;0;488;0;;;2013-10-15;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;Analyse
*;16;12/0762;490;0;;;2013-10-16;Retiraison;280;GVS;0;0;0;0;0;0;0;0;0;0;0;0;;Collage
*;17;12/0937;332;0;;;2014-03-06;Retiraison;332;c62;12.9;0.18;0;0;0;0;0;0;STABLE;0;0;0;;
*;18;12/0947;332;0;;;2014-02-26;Retiraison;250;CB15;13.19;0.23;0;0;0;0;FT;0;0;0;0;0;;
*;19;12/1009;348;348;VDF Rosé;;2014-02-24;Analyse;;;9;0.26;0;0;0;0;0;0;0;0;0;0;;
*;20;12/100;385;385;VDF Rouge;;2014-02-06;Analyse;;;13.5;0.39;0;0;0;0;0;0;0;0;0;0;;
*;21;06/0468;386;386;Syrah OC Rouge;;2014-03-19;Entrée;386;c41;11.8;0.36;0;0;0;0;0;0;0;0;0;0;;
*;22;12/0977;348;347.9;Bio Merlot OC Rouge;;2014-02-28;Entrée;246.9;c34;13.36;0.59;0;0;0;0;0;0;0;0;0;0;;Analyse
*;23;12/1026;334;334;VDF Rouge;;2014-03-20;Entrée;334;ca4;12.11;0.33;0;0;0;0;0;0;0;0;0;0;;
*;24;12/1014;336;0;;;2014-02-27;Filtration;130;CB13;12.26;0.19;0;0;0;0;0;0;0;0;0;0;;
*;25;12/1020;335;0;;;2014-02-27;Retiraison;14;C132;0;0;0;0;0;0;0;0;STABLE;0;2;0;;
*;26;0;340;0;;;2013-12-10;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;2;0;;
*;27;0;340;0;;;2014-02-24;Nettoyage;;;11.94;0.31;0;0;0;0;STABLE;0;0;0;0;0;;
*;28;12/1003;110;102;VP34 Rouge;;2014-03-17;Entrée;102;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;29;0;110;110;VDF Rouge;amilique;2014-02-19;Analyse;;;11.95;0.29;0;0;0;0;0;0;0;0;1;0;;
*;30;12/0990;115;80;VDF Rosé;;2014-02-05;Analyse;;;12.79;0.42;0;0;0;0;0;0;0;0;0;0;;
*;31;06/0468;366;0;;;2013-12-18;Retiraison;233;C41;13.01;0.6;0;3.09;0;0;0;0;0;0;0;0;;Nettoyage
*;32;0;456;456;Merlot OC Rouge;vinif13 456hl;2014-01-23;Analyse;;vinif 2013 ca5;13.26;0.33;0;0;0;0;0;0;0;0;0;0;;
*;33;12/1026;446;0;;;2014-03-11;Filtration;13;c5;0;0;0;0;0;0;0;0;0;0;1;0;;
*;CV1;12/1023;268;268;Syrah OC Rosé;;2014-03-18;Analyse;;;12.36;0.34;0;0;0;0;0;0;0;0;0;0;;
*;CV2;12/0756;260;260;VDF Rouge;;2014-03-18;Analyse;;;11.86;0.34;0;0;0;0;0;0;0;0;0;0;;
*;CV3;12/0763;283;283;VP30 Rouge;;2014-03-20;Entrée;283;c23;13.94;0.38;0;0;0;0;0;0;0;0;0;0;;
*;34;12/1011;764;260;OC Rouge;;2014-03-18;Entrée;260;;13.39;0.4;0;0;0;0;0;0;0;0;0;0;;
*;35;0;738;738;Bio Merlot OC Rouge;vinif13 738hl;2013-12-11;Entrée;0;vinif 13;0;0;0;0;0;0;0;0;0;0;0;0;;
*;36;12/0949;515;0;;;2014-03-12;Nettoyage;;;12.14;0.18;0;0;0;0;0;0;STABLE;0;0;0;;
*;37;0;507;507;Merlot OC Rouge;vinif13 507hl;2013-12-10;Entrée;507;vinif 2013;0;0;0;0;0;0;0;0;0;0;1;0;;
